"","slug_region","label_region","label","indicador","count"
"70","pesca","Pesca","Pesca","registros_endemicas",561
"71","pisba","Pisba","Pisba","registros_endemicas",2
"72","puerto-boyaca","Puerto Boyacá","Puerto Boyacá","registros_endemicas",132
"73","quipama","Quípama","Quípama","registros_endemicas",5
"74","ramiriqui","Ramiriquí","Ramiriquí","registros_endemicas",60
"75","raquira","Ráquira","Ráquira","registros_endemicas",167
"76","rondon","Rondón","Rondón","registros_endemicas",126
"77","saboya","Saboyá","Saboyá","registros_endemicas",31
"78","sachica","Sáchica","Sáchica","registros_endemicas",40
"79","samaca","Samacá","Samacá","registros_endemicas",302
"80","san-eduardo","San Eduardo","San Eduardo","registros_endemicas",0
"81","san-jose-de-pare","San José de Pare","San José de Pare","registros_endemicas",3
"82","san-luis-de-gaceno","San Luis de Gaceno","San Luis de Gaceno","registros_endemicas",36
"83","san-mateo","San Mateo","San Mateo","registros_endemicas",27
"84","san-miguel-de-sema","San Miguel de Sema","San Miguel de Sema","registros_endemicas",0
"85","san-pablo-de-borbur","San Pablo de Borbur","San Pablo de Borbur","registros_endemicas",2
"86","santa-maria-boy","Santa María","Santa María","registros_endemicas",444
"87","santa-rosa-de-viterbo","Santa Rosa de Viterbo","Santa Rosa de Viterbo","registros_endemicas",77
"88","santa-sofia","Santa Sofía","Santa Sofía","registros_endemicas",5
"89","santana","Santana","Santana","registros_endemicas",0
"90","sativanorte","Sativanorte","Sativanorte","registros_endemicas",57
"91","sativasur","Sativasur","Sativasur","registros_endemicas",2
"92","siachoque","Siachoque","Siachoque","registros_endemicas",60
"93","soata","Soatá","Soatá","registros_endemicas",54
"94","socha","Socha","Socha","registros_endemicas",237
"95","socota","Socotá","Socotá","registros_endemicas",176
"96","sogamoso","Sogamoso","Sogamoso","registros_endemicas",49
"97","somondoco","Somondoco","Somondoco","registros_endemicas",2
"98","sora","Sora","Sora","registros_endemicas",10
"99","soraca","Soracá","Soracá","registros_endemicas",4
"100","sotaquira","Sotaquirá","Sotaquirá","registros_endemicas",686
"101","susacon","Susacón","Susacón","registros_endemicas",496
"102","sutamarchan","Sutamarchán","Sutamarchán","registros_endemicas",21
"103","sutatenza","Sutatenza","Sutatenza","registros_endemicas",1
"104","tasco","Tasco","Tasco","registros_endemicas",233
"105","tenza","Tenza","Tenza","registros_endemicas",0
"106","tibana","Tibaná","Tibaná","registros_endemicas",12
"107","tibasosa","Tibasosa","Tibasosa","registros_endemicas",81
"108","tinjaca","Tinjacá","Tinjacá","registros_endemicas",3
"109","tipacoque","Tipacoque","Tipacoque","registros_endemicas",57
"110","toca","Toca","Toca","registros_endemicas",948
"111","togui","Togüí","Togüí","registros_endemicas",28
"112","topaga","Tópaga","Tópaga","registros_endemicas",2
"113","tota","Tota","Tota","registros_endemicas",24
"114","tunja","Tunja","Tunja","registros_endemicas",120
"115","tunungua","Tununguá","Tununguá","registros_endemicas",0
"116","turmeque","Turmequé","Turmequé","registros_endemicas",9
"117","tuta","Tuta","Tuta","registros_endemicas",15
"118","tutaza","Tutazá","Tutazá","registros_endemicas",49
"119","umbita","Úmbita","Úmbita","registros_endemicas",10
"120","ventaquemada","Ventaquemada","Ventaquemada","registros_endemicas",173
"121","villa-de-leyva","Villa de Leyva","Villa de Leyva","registros_endemicas",733
"122","viracacha","Viracachá","Viracachá","registros_endemicas",171
"123","zetaquira","Zetaquira","Zetaquira","registros_endemicas",22
