"","slug_region","label_region","label","indicador","count"
"93","soata","Soatá","Soatá","especies_endemicas",16
"94","socha","Socha","Socha","especies_endemicas",6
"95","socota","Socotá","Socotá","especies_endemicas",8
"96","sogamoso","Sogamoso","Sogamoso","especies_endemicas",4
"97","somondoco","Somondoco","Somondoco","especies_endemicas",1
"98","sora","Sora","Sora","especies_endemicas",0
"99","soraca","Soracá","Soracá","especies_endemicas",4
"100","sotaquira","Sotaquirá","Sotaquirá","especies_endemicas",10
"101","susacon","Susacón","Susacón","especies_endemicas",10
"102","sutamarchan","Sutamarchán","Sutamarchán","especies_endemicas",2
"103","sutatenza","Sutatenza","Sutatenza","especies_endemicas",2
"104","tasco","Tasco","Tasco","especies_endemicas",7
"105","tenza","Tenza","Tenza","especies_endemicas",0
"106","tibana","Tibaná","Tibaná","especies_endemicas",2
"107","tibasosa","Tibasosa","Tibasosa","especies_endemicas",2
"108","tinjaca","Tinjacá","Tinjacá","especies_endemicas",2
"109","tipacoque","Tipacoque","Tipacoque","especies_endemicas",8
"110","toca","Toca","Toca","especies_endemicas",4
"111","togui","Togüí","Togüí","especies_endemicas",6
"112","topaga","Tópaga","Tópaga","especies_endemicas",1
"113","tota","Tota","Tota","especies_endemicas",7
"114","tunja","Tunja","Tunja","especies_endemicas",8
"115","tunungua","Tununguá","Tununguá","especies_endemicas",2
"116","turmeque","Turmequé","Turmequé","especies_endemicas",1
"117","tuta","Tuta","Tuta","especies_endemicas",6
"118","tutaza","Tutazá","Tutazá","especies_endemicas",6
"119","umbita","Úmbita","Úmbita","especies_endemicas",5
"120","ventaquemada","Ventaquemada","Ventaquemada","especies_endemicas",2
"121","villa-de-leyva","Villa de Leyva","Villa de Leyva","especies_endemicas",23
"122","viracacha","Viracachá","Viracachá","especies_endemicas",2
"123","zetaquira","Zetaquira","Zetaquira","especies_endemicas",5
