"","slug_region","slug_grupo","label_region","label","especies_exoticas"
"45","jerico-boy","plantas","Jericó","Jericó",7
"46","la-capilla","plantas","La Capilla","La Capilla",4
"47","la-uvita","plantas","La Uvita","La Uvita",11
"48","la-victoria-boy","plantas","La Victoria","La Victoria",2
"49","labranzagrande","plantas","Labranzagrande","Labranzagrande",18
"50","macanal","plantas","Macanal","Macanal",7
"51","maripi","plantas","Maripí","Maripí",2
"52","miraflores-boy","plantas","Miraflores","Miraflores",13
"53","mongua","plantas","Mongua","Mongua",9
"54","mongui","plantas","Monguí","Monguí",14
"55","moniquira","plantas","Moniquirá","Moniquirá",22
"56","motavita","plantas","Motavita","Motavita",3
"57","muzo","plantas","Muzo","Muzo",2
"58","nobsa","plantas","Nobsa","Nobsa",4
"59","nuevo-colon","plantas","Nuevo Colón","Nuevo Colón",2
"60","oicata","plantas","Oicatá","Oicatá",3
"61","otanche","plantas","Otanche","Otanche",41
"62","pachavita","plantas","Pachavita","Pachavita",4
"63","paez-boy","plantas","Páez","Páez",9
"64","paipa","plantas","Paipa","Paipa",57
"65","pajarito","plantas","Pajarito","Pajarito",12
"66","panqueba","plantas","Panqueba","Panqueba",0
"67","pauna","plantas","Pauna","Pauna",6
"68","paya","plantas","Paya","Paya",2
"69","paz-de-rio","plantas","Paz de Río","Paz de Río",12
"70","pesca","plantas","Pesca","Pesca",12
"71","pisba","plantas","Pisba","Pisba",0
"72","puerto-boyaca","plantas","Puerto Boyacá","Puerto Boyacá",37
"73","quipama","plantas","Quípama","Quípama",3
"74","ramiriqui","plantas","Ramiriquí","Ramiriquí",5
"75","raquira","plantas","Ráquira","Ráquira",27
"76","rondon","plantas","Rondón","Rondón",8
"77","saboya","plantas","Saboyá","Saboyá",4
"78","sachica","plantas","Sáchica","Sáchica",27
"79","samaca","plantas","Samacá","Samacá",9
"80","san-eduardo","plantas","San Eduardo","San Eduardo",0
"81","san-jose-de-pare","plantas","San José de Pare","San José de Pare",1
"82","san-luis-de-gaceno","plantas","San Luis de Gaceno","San Luis de Gaceno",5
"83","san-mateo","plantas","San Mateo","San Mateo",6
"84","san-miguel-de-sema","plantas","San Miguel de Sema","San Miguel de Sema",2
"85","san-pablo-de-borbur","plantas","San Pablo de Borbur","San Pablo de Borbur",1
"86","santa-maria-boy","plantas","Santa María","Santa María",46
"87","santa-rosa-de-viterbo","plantas","Santa Rosa de Viterbo","Santa Rosa de Viterbo",15
"88","santa-sofia","plantas","Santa Sofía","Santa Sofía",7
"89","santana","plantas","Santana","Santana",1
"90","sativanorte","plantas","Sativanorte","Sativanorte",4
"91","sativasur","plantas","Sativasur","Sativasur",0
"92","siachoque","plantas","Siachoque","Siachoque",5
"93","soata","plantas","Soatá","Soatá",36
"94","socha","plantas","Socha","Socha",19
"95","socota","plantas","Socotá","Socotá",6
"96","sogamoso","plantas","Sogamoso","Sogamoso",22
"97","somondoco","plantas","Somondoco","Somondoco",2
"98","sora","plantas","Sora","Sora",1
"99","soraca","plantas","Soracá","Soracá",2
"100","sotaquira","plantas","Sotaquirá","Sotaquirá",5
"101","susacon","plantas","Susacón","Susacón",17
"102","sutamarchan","plantas","Sutamarchán","Sutamarchán",7
"103","sutatenza","plantas","Sutatenza","Sutatenza",4
"104","tasco","plantas","Tasco","Tasco",5
"105","tenza","plantas","Tenza","Tenza",4
"106","tibana","plantas","Tibaná","Tibaná",0
"107","tibasosa","plantas","Tibasosa","Tibasosa",33
"108","tinjaca","plantas","Tinjacá","Tinjacá",5
"109","tipacoque","plantas","Tipacoque","Tipacoque",12
"110","toca","plantas","Toca","Toca",4
"111","togui","plantas","Togüí","Togüí",4
"112","topaga","plantas","Tópaga","Tópaga",2
"113","tota","plantas","Tota","Tota",19
"114","tunja","plantas","Tunja","Tunja",71
"115","tunungua","plantas","Tununguá","Tununguá",0
"116","turmeque","plantas","Turmequé","Turmequé",17
"117","tuta","plantas","Tuta","Tuta",16
"118","tutaza","plantas","Tutazá","Tutazá",4
"119","umbita","plantas","Úmbita","Úmbita",5
"120","ventaquemada","plantas","Ventaquemada","Ventaquemada",21
"121","villa-de-leyva","plantas","Villa de Leyva","Villa de Leyva",149
"122","viracacha","plantas","Viracachá","Viracachá",1
"123","zetaquira","plantas","Zetaquira","Zetaquira",22
